# NAME  ρ  u(ρ)
3H   -2.1053   14
11C  -0.7544   8
13N  -0.5596   14
15O   0.6302   16
17F   1.2955   10
19Ne -1.6020   9
21Na  0.7125   12
23Mg -0.554    2
25Al  0.8084   11
27Si -0.6966   9
29P   0.538    2
31S  -0.5294   15
33Cl -0.314    3
35Ar  0.282    2
37K  -0.5779   15
39Ca  0.6606   16
41Sc  1.074    4
43Ti -0.810    17
45V   0.64     2
47Cr  -0.5794   42
49Mn   0.5373   75
51Fe  -0.5811   49
53Co   0.6730   72
55Ni  -0.6752   80
57Cu   0.5639   28
59Zn  -0.4876   42
61Ga   0.5421   79
